Number,Name,Nationality,Date of Birth,Weight,Height,Position,2020/2021,2019/2020,2018/2019,2021/2022
1,Bernd Leno,Germany,04-03-92,83kg,190cm,Goalkeeper,Arsenal,Arsenal,Arsenal,Arsenal
20,Nuno Tavares,Portugal,26-01-00,75kg,183cm,Defender,,,,Arsenal
3,Kieran Tierney,Scotland,05-06-97,70kg,178cm,Defender,Arsenal,Arsenal,,Arsenal
32,Aaron Ramsdale,England,14-05-98,77kg,188cm,Goalkeeper,Sheffield Utd,Bournemouth,Bournemouth,Arsenal
33,Arthur Okonkwo,England,09-09-01,,198cm,Goalkeeper,Arsenal,,,Arsenal
16,Rob Holding,England,20-09-95,75kg,189cm,Defender,Arsenal,Arsenal,Arsenal,Arsenal
17,Cédric Soares,Portugal,31-08-91,67kg,172cm,Defender,Arsenal,Arsenal  (Loan) ,Southampton,Arsenal
6,Gabriel Magalhães,Brazil,19-12-97,78kg,190cm,Defender,Arsenal,,,Arsenal
4,Benjamin White,England,08-10-97,78kg,182cm,Defender,Brighton,Leeds  (Loan) ,Brighton,Arsenal
18,Takehiro Tomiyasu,Japan,05-11-98,70kg,188cm,Defender,,,,Arsenal
75,Zach Awe,England,09-01-04,,,Defender,,,,Arsenal
10,Emile Smith Rowe,England,28-07-00,79kg,182cm,Midfielder,Arsenal,Arsenal,Arsenal,Arsenal
61,Mazeed Ogungbo,Ireland,20-10-02,,,Defender,,,,Arsenal
25,Mohamed Elneny,Egypt,11-07-92,70kg,180cm,Midfielder,Arsenal,Arsenal,Arsenal,Arsenal
7,Bukayo Saka,England,05-09-01,65kg,178cm,Midfielder,Arsenal,Arsenal,Arsenal,Arsenal
69,Zak Swanson,England,28-09-00,,,Defender,,,,Arsenal
5,Thomas Partey,Ghana,13-06-93,77kg,185cm,Midfielder,Arsenal,,,Arsenal
34,Granit Xhaka,Switzerland,27-09-92,82kg,185cm,Midfielder,Arsenal,Arsenal,Arsenal,Arsenal
23,Albert Sambi Lokonga,Belgium,22-10-99,67kg,173cm,Midfielder,,,,Arsenal
8,Martin Ødegaard,Norway,17-12-98,68kg,178cm,Midfielder,Arsenal  (Loan) ,Arsenal  (Loan) ,,Arsenal
65,Salah-Eddine Oulad M'hand,Netherlands,20-08-03,,,Midfielder,,,,Arsenal
87,Charlie Patino,England,17-10-03,,,Midfielder,,,,Arsenal
78,Marcelo Flores,Mexico,01-10-03,,,Midfielder,,,,Arsenal
82,Omari Hutchinson,England,29-10-03,,,Midfielder,Arsenal,,,Arsenal
38,Miguel Azeez,England,20-09-02,,,Midfielder,Arsenal,Arsenal,Arsenal,Arsenal
9,Alexandre Lacazette,France,28-05-91,73kg,175cm,Forward,Arsenal,Arsenal,Arsenal,Arsenal
19,Nicolas Pépé,Cote D’Ivoire,29-05-95,73kg,183cm,Forward,Arsenal,Arsenal,,Arsenal
35,Gabriel Martinelli,Brazil,18-06-01,75kg,178cm,Forward,Arsenal,Arsenal,,Arsenal
30,Eddie Nketiah,England,30-05-99,72kg,175cm,Forward,Arsenal,Arsenal,Arsenal,Arsenal
1,Emiliano Martínez,Argentina,02-09-92,88kg,195cm,Goalkeeper,Aston Villa,Arsenal,Arsenal,Aston Villa
38,Viljami Sinisalo,Finland,11-10-01,,,Goalkeeper,,,,Aston Villa
25,Robin Olsen,Sweden,08-01-90,89kg,198cm,Goalkeeper,Everton  (Loan) ,Everton  (Loan) ,,Aston Villa
2,Matthew Cash,Poland,07-08-97,,185cm,Defender,Aston Villa,,,Aston Villa
5,Tyrone Mings,England,13-03-93,77kg,196cm,Defender,Aston Villa,Aston Villa,Aston Villa  (Loan) ,Aston Villa
30,Kortney Hause,England,16-07-95,77kg,191cm,Defender,Aston Villa,Aston Villa,Aston Villa  (Loan) ,Aston Villa
58,Mika Biereth,England,08-02-03,,,Forward,,,,Arsenal
18,Ashley Young,England,09-07-85,65kg,175cm,Defender,Man Utd,Man Utd,Man Utd,Aston Villa
4,Ezri Konsa,England,23-10-97,77kg,183cm,Defender,Aston Villa,Aston Villa,,Aston Villa
50,Sil Swinkels,Netherlands,06-01-04,,,Defender,Aston Villa,Aston Villa,,Aston Villa
27,Lucas Digne,France,20-07-93,74kg,178cm,Defender,Everton,Everton,Everton,Aston Villa
6,Douglas Luiz,Brazil,09-05-98,66kg,175cm,Midfielder,Aston Villa,Aston Villa,Man City,Aston Villa
16,Calum Chambers,England,20-01-95,66kg,182cm,Defender,Arsenal,Arsenal,Arsenal,Aston Villa
7,John McGinn,Scotland,18-10-94,68kg,178cm,Midfielder,Aston Villa,Aston Villa,,Aston Villa
19,Marvelous Nakamba,Zimbabwe,19-01-94,71kg,178cm,Midfielder,Aston Villa,Aston Villa,,Aston Villa
49,Hayden Lindley,England,02-09-02,,,Midfielder,Aston Villa,Aston Villa,,Aston Villa
36,Lamare Bogarde,Netherlands,05-01-04,,,Midfielder,Aston Villa,Aston Villa,,Aston Villa
47,Tim Iroegbunam,England,30-06-03,,,Midfielder,West Brom,,,Aston Villa
59,Josh Feeney,England,06-05-05,,,Midfielder,,,,Aston Villa
8,Morgan Sanson,France,18-08-94,73kg,180cm,Midfielder,Aston Villa,,,Aston Villa
10,Emiliano Buendía,Argentina,25-12-96,72kg,172cm,Midfielder,Norwich,Norwich,,Aston Villa
33,Carney Chukwuemeka,England,20-10-03,,,Midfielder,Aston Villa,Aston Villa,,Aston Villa
23,Philippe Coutinho,Brazil,12-06-92,68kg,172cm,Midfielder,Liverpool,Liverpool,Liverpool,Aston Villa
41,Jacob Ramsey,England,28-05-01,,,Midfielder,Aston Villa,Aston Villa,Aston Villa,Aston Villa
45,Benjamin Chrisene,England,12-01-04,,,Midfielder,Aston Villa,Aston Villa,,Aston Villa
58,Tommi O'Reilly,England,15-12-03,,,Midfielder,,,,Aston Villa
15,Bertrand Traoré,Burkina Faso,06-09-95,73kg,181cm,Forward,Aston Villa,Chelsea,Chelsea,Aston Villa
31,Leon Bailey,Jamaica,09-08-97,77kg,178cm,Forward,,,,Aston Villa
20,Danny Ings,England,23-07-92,73kg,178cm,Forward,Southampton,Southampton,Southampton  (Loan) ,Aston Villa
11,Ollie Watkins,England,30-12-95,70kg,180cm,Forward,Aston Villa,,,Aston Villa
1,Jordan Pickford,England,07-03-94,77kg,185cm,Goalkeeper,Everton,Everton,Everton,Everton
15,Asmir Begovic,Bosnia & Herzegovina,20-06-87,101kg,199cm,Goalkeeper,Bournemouth,Bournemouth,Bournemouth,Everton
53,Harry Tyrer,England,06-12-01,,,Goalkeeper,Everton,Everton,,Everton
22,Ben Godfrey,England,15-01-98,74kg,183cm,Defender,Everton,Norwich,,Everton
31,Andy Lonergan,England,19-10-83,87kg,192cm,Goalkeeper,West Brom,Liverpool,Liverpool,Everton
13,Yerry Mina,Colombia,23-09-94,94kg,195cm,Defender,Everton,Everton,Everton,Everton
5,Michael Keane,England,11-01-93,82kg,191cm,Defender,Everton,Everton,Everton,Everton
4,Mason Holgate,England,22-10-96,63kg,184cm,Defender,Everton,Everton,Everton,Everton
2,Jonjoe Kenny,England,15-03-97,67kg,176cm,Defender,Everton,Everton,Everton,Everton
32,Jarrad Branthwaite,England,27-06-02,82kg,195cm,Defender,Everton,Everton,,Everton
23,Séamus Coleman,Ireland,11-10-88,67kg,177cm,Defender,Everton,Everton,Everton,Everton
64,Reece Welch,England,19-09-03,,,Defender,Everton,Everton,,Everton
19,Vitalii Mykolenko,Ukraine,29-05-99,71kg,180cm,Defender,,,,Everton
3,Nathan Patterson,Scotland,16-10-01,72kg,183cm,Defender,,,,Everton
38,Ryan Astley,Wales,04-10-01,,,Defender,Everton,Everton,,Everton
6,Allan,Brazil,08-01-91,73kg,173cm,Midfielder,Everton,,,Everton
8,Fabian Delph,England,21-11-89,60kg,174cm,Midfielder,Everton,Everton,Man City,Everton
16,Abdoulaye Doucouré,Mali,01-01-93,75kg,184cm,Midfielder,Everton,Watford,Watford,Everton
21,André Gomes,Portugal,30-07-93,84kg,188cm,Midfielder,Everton,Everton,Everton  (Loan) ,Everton
26,Tom Davies,England,30-06-98,70kg,180cm,Midfielder,Everton,Everton,Everton,Everton
14,Andros Townsend,England,16-07-91,77kg,181cm,Midfielder,Crystal Palace,Crystal Palace,Crystal Palace,Everton
62,Tyler Onyango,England,04-03-03,,190cm,Midfielder,Everton,Everton,,Everton
30,Donny van de Beek,Netherlands,18-04-97,76kg,184cm,Midfielder,Man Utd,Man Utd,,Everton
34,Anwar El Ghazi,Netherlands,03-05-95,90kg,188cm,Midfielder,Aston Villa,Aston Villa,Aston Villa,Everton
20,Cenk Tosun,Turkey,07-06-91,78kg,183cm,Forward,Everton,Crystal Palace  (Loan) ,Everton,Everton
60,Isaac Price,Northern Ireland,26-09-03,,,Midfielder,Everton,Everton,,Everton
7,Richarlison,Brazil,10-05-97,83kg,184cm,Forward,Everton,Everton,Everton,Everton
9,Dominic Calvert-Lewin,England,16-03-97,71kg,187cm,Forward,Everton,Everton,Everton,Everton
57,Charlie Whitaker,England,16-09-03,,,Midfielder,Everton,,,Everton
11,Demarai Gray,England,28-06-96,74kg,180cm,Forward,Leicester,Leicester,Leicester,Everton
17,Alexander Iwobi,Nigeria,03-05-96,75kg,180cm,Forward,Everton,Everton,Arsenal,Everton
36,Dele Alli,England,11-04-96,76kg,188cm,Midfielder,Spurs,Spurs,Spurs,Everton
24,Anthony Gordon,England,24-02-01,,,Forward,Everton,Everton,Everton,Everton
33,Salomón Rondón,Venezuela,16-09-89,98kg,186cm,Forward,Newcastle  (Loan) ,Newcastle  (Loan) ,West Brom,Everton
61,Lewis Dobbin,England,03-01-03,,,Forward,Everton,Everton,,Everton
1,Kepa Arrizabalaga,Spain,03-10-94,84kg,189cm,Goalkeeper,Chelsea,Chelsea,Chelsea,Chelsea
16,Édouard Mendy,Senegal,01-03-92,86kg,197cm,Goalkeeper,Chelsea,,,Chelsea
36,Lucas Bergström,Finland,05-09-02,,,Goalkeeper,Chelsea,,,Chelsea
13,Marcus Bettinelli,England,24-05-92,82kg,194cm,Goalkeeper,Fulham,Fulham,Fulham,Chelsea
60,Teddy Sharman-Lowe,England,30-03-03,73kg,189cm,Goalkeeper,,,,Chelsea
3,Marcos Alonso,Spain,28-12-90,84kg,188cm,Defender,Chelsea,Chelsea,Chelsea,Chelsea
2,Antonio Rüdiger,Germany,03-03-93,85kg,190cm,Defender,Chelsea,Chelsea,Chelsea,Chelsea
14,Trevoh Chalobah,England,05-07-99,75kg,190cm,Defender,Chelsea,Chelsea,Chelsea,Chelsea
4,Andreas Christensen,Denmark,10-04-96,82kg,187cm,Defender,Chelsea,Chelsea,Chelsea,Chelsea
24,Reece James,England,08-12-99,82kg,182cm,Defender,Chelsea,Chelsea,,Chelsea
21,Ben Chilwell,England,21-12-96,77kg,178cm,Defender,Chelsea,Leicester,Leicester,Chelsea
6,Thiago Silva,Brazil,22-09-84,79kg,183cm,Defender,Chelsea,,,Chelsea
28,César Azpilicueta,Spain,28-08-89,76kg,178cm,Defender,Chelsea,Chelsea,Chelsea,Chelsea
31,Malang Sarr,France,23-01-99,73kg,182cm,Defender,Chelsea,Chelsea,,Chelsea
38,Dylan Williams,England,13-09-03,,,Defender,,,,Chelsea
43,Xavier Mbuyamba,Netherlands,31-12-01,,,Defender,,,,Chelsea
5,Jorginho,Italy,20-12-91,65kg,180cm,Midfielder,Chelsea,Chelsea,Chelsea,Chelsea
19,Mason Mount,England,10-01-99,70kg,178cm,Midfielder,Chelsea,Chelsea,,Chelsea
7,N'Golo Kanté,France,29-03-91,68kg,168cm,Midfielder,Chelsea,Chelsea,Chelsea,Chelsea
10,Christian Pulisic,United States,18-09-98,69kg,172cm,Midfielder,Chelsea,Chelsea,Chelsea,Chelsea
8,Mateo Kovacic,Croatia,06-05-94,78kg,178cm,Midfielder,Chelsea,Chelsea,Chelsea  (Loan) ,Chelsea
22,Hakim Ziyech,Morocco,19-03-93,65kg,180cm,Midfielder,Chelsea,,,Chelsea
17,Saúl Ñíguez,Spain,21-11-94,76kg,184cm,Midfielder,,,,Chelsea
15,Ruben Loftus-Cheek,England,23-01-96,88kg,191cm,Midfielder,Fulham  (Loan) ,Chelsea,Chelsea,Chelsea
29,Kai Havertz,Germany,11-06-99,83kg,188cm,Midfielder,Chelsea,,,Chelsea
18,Ross Barkley,England,05-12-93,76kg,189cm,Midfielder,Chelsea,Chelsea,Aston Villa  (Loan) ,Aston Villa
71,Charlie Webster,England,31-01-04,,,Midfielder,,,,Chelsea
68,Harvey Vale,England,11-09-03,,,Midfielder,Chelsea,,,Chelsea
54,Xavier Simons,England,20-02-03,,,Midfielder,,,,Chelsea
11,Timo Werner,Germany,06-03-96,75kg,180cm,Forward,Chelsea,,,Chelsea
24,Kenedy,Brazil,08-02-96,77kg,182cm,Forward,Chelsea,Newcastle  (Loan) ,Chelsea,Chelsea
75,Lewis Hall,England,08-09-04,,,Midfielder,,,,Chelsea
9,Romelu Lukaku,Belgium,13-05-93,93kg,190cm,Forward,Man Utd,Man Utd,Man Utd,Chelsea
20,Callum Hudson-Odoi,England,07-11-00,76kg,182cm,Forward,Chelsea,Chelsea,Chelsea,Chelsea
13,Wayne Hennessey,Wales,24-01-87,90kg,198cm,Goalkeeper,Crystal Palace,Crystal Palace,Crystal Palace,Burnley
50,Sam Waller,England,09-09-03,,,Goalkeeper,,,,Burnley
2,Matthew Lowton,England,09-06-89,78kg,180cm,Defender,Burnley,Burnley,Burnley,Burnley
3,Charlie Taylor,England,18-09-93,70kg,176cm,Defender,Burnley,Burnley,Burnley,Burnley
64,Jude Soonsup-Bell,England,10-01-04,,,Forward,,,,Chelsea
25,Will Norris,England,12-08-93,74kg,195cm,Goalkeeper,Burnley,Wolves,Wolves,Burnley
5,James Tarkowski,England,19-11-92,81kg,185cm,Defender,Burnley,Burnley,Burnley,Burnley
1,Nick Pope,England,19-04-92,76kg,191cm,Goalkeeper,Burnley,Burnley,Burnley,Burnley
6,Ben Mee,England,21-09-89,74kg,180cm,Defender,Burnley,Burnley,Burnley,Burnley
26,Phil Bardsley,Scotland,28-06-85,74kg,180cm,Defender,Burnley,Burnley,Burnley,Burnley
23,Erik Pieters,Netherlands,07-08-88,84kg,183cm,Defender,Burnley,Burnley,Stoke,Burnley
22,Nathan Collins,Ireland,30-04-01,,193cm,Defender,,,,Burnley
37,Bobby Thomas,England,30-01-01,,,,Burnley,Burnley,Burnley,Burnley
39,Owen Dodgson,England,19-03-03,,,Defender,,,,Burnley
14,Connor Roberts,Wales,23-09-95,71kg,175cm,Defender,Swansea,Swansea,,Burnley
28,Kevin Long,Ireland,18-08-90,83kg,188cm,Defender,Burnley,Burnley,Burnley,Burnley
7,Jóhann Gudmundsson,Iceland,27-10-90,78kg,186cm,Midfielder,Burnley,Burnley,Burnley,Burnley
8,Josh Brownhill,England,19-12-95,69kg,180cm,Midfielder,Burnley,Burnley,,Burnley
4,Jack Cork,England,25-06-89,70kg,183cm,Midfielder,Burnley,Burnley,Burnley,Burnley
11,Dwight McNeil,England,22-11-99,68kg,183cm,Midfielder,Burnley,Burnley,Burnley,Burnley
16,Dale Stephens,England,12-06-89,71kg,169cm,Midfielder,Burnley,Brighton,Brighton,Burnley
17,Aaron Lennon,England,16-04-87,63kg,165cm,Midfielder,Burnley,Burnley,Burnley,Burnley
20,Maxwel Cornet,Cote D’Ivoire,27-09-96,69kg,179cm,Midfielder,,,,Burnley
38,Lewis Richardson,England,07-02-03,,,Midfielder,Burnley,Burnley,Burnley,Burnley
10,Ashley Barnes,England,30-10-89,77kg,186cm,Forward,Burnley,Burnley,Burnley,Burnley
18,Ashley Westwood,England,01-04-90,80kg,175cm,Midfielder,Burnley,Burnley,Burnley,Burnley
27,Matej Vydra,Czech Republic,01-05-92,71kg,180cm,Midfielder,Burnley,Burnley,Burnley,Burnley
55,Mark Helm,England,21-10-01,,,Midfielder,,,,Burnley
56,Joseph McGlynn,Scotland,27-09-02,,,Forward,,,,Burnley
9,Wout Weghorst,Netherlands,07-08-92,84kg,197cm,Forward,,,,Burnley
1,David Raya,Spain,15-09-95,80kg,183cm,Goalkeeper,,,,Brentford
44,Dara Costelloe,Ireland,11-12-02,,,Forward,,,,Burnley
19,Jay Rodriguez,England,29-07-89,84kg,185cm,Forward,Burnley,Burnley,West Brom,Burnley
40,Álvaro Fernández,Spain,13-04-98,75kg,185cm,Goalkeeper,,,,Brentford
13,Patrik Gunnarsson,Iceland,15-11-00,84kg,190cm,Goalkeeper,Brentford,,,Brentford
49,Jonas Lössl,Denmark,01-02-89,89kg,195cm,Goalkeeper,Everton,Everton  (Loan) ,Everton,Brentford
3,Rico Henry,England,08-07-97,67kg,170cm,Defender,,,,Brentford
5,Ethan Pinnock,Jamaica,29-05-93,79kg,187cm,Defender,,,,Brentford
18,Pontus Jansson,Sweden,13-02-91,89kg,194cm,Defender,,,,Brentford
30,Mads Roerslev,Denmark,24-06-99,77kg,184cm,Defender,,,,Brentford
29,Mads Bech Sørensen,Denmark,07-01-99,92kg,189cm,Defender,,,,Brentford
41,Matthew Cox,England,02-05-03,,,Goalkeeper,,,,Brentford
23,Julian Jeanvier,Guinea,31-03-92,84kg,185cm,Defender,,,,Brentford
36,Finley Stevens,Wales,10-04-03,,,Defender,,,,Brentford
39,Lewis Gordon,England,12-02-01,,,Defender,,,,Brentford
22,Zanka,Denmark,23-04-90,79kg,191cm,Defender,Huddersfield,Huddersfield,,Brentford
34,Daniel Oyegoke,England,03-01-03,,,Defender,Arsenal,,,Brentford
20,Kristoffer Ajer,Norway,17-04-98,84kg,196cm,Defender,Brentford,,,Brentford
6,Christian Nørgaard,Denmark,10-03-94,76kg,187cm,Midfielder,,,,Brentford
8,Mathias Jensen,Denmark,01-01-96,68kg,180cm,Midfielder,,,,Brentford
10,Josh Dasilva,England,23-10-98,75kg,184cm,Midfielder,Arsenal,Arsenal,Arsenal,Brentford
19,Bryan Mbeumo,France,07-08-99,,171cm,Midfielder,,,,Brentford
24,Tariqe Fosu-Henry,Ghana,05-11-95,75kg,180cm,Midfielder,,,,Brentford
26,Shandon Baptiste,Grenada,08-04-98,71kg,175cm,Midfielder,,,,Brentford
27,Vitaly Janelt,Germany,10-05-98,79kg,184cm,Midfielder,,,,Brentford
37,Maxwell Haygarth,England,21-01-02,,,Midfielder,Brentford,,,Brentford
15,Frank Onyeka,Nigeria,01-01-98,,183cm,Midfielder,Brentford,,,Brentford
25,Myles Peart-Harris,England,18-09-02,,,Midfielder,Brentford,Chelsea,,Brentford
11,Yoane Wissa,DR Congo,03-09-96,74kg,176cm,Midfielder,,,,Brentford
33,Paris Maghoma,England,08-05-01,,,Midfielder,Brentford,Spurs,,Brentford
21,Christian Eriksen,Denmark,14-02-92,76kg,182cm,Midfielder,Spurs,Spurs,Spurs,Brentford
7,Sergi Canós,Spain,02-02-97,75kg,177cm,Forward,Liverpool,Liverpool,,Brentford
17,Ivan Toney,England,16-03-96,70kg,179cm,Forward,Newcastle,,,Brentford
14,Saman Ghoddos,Iran,06-09-93,75kg,176cm,Forward,,,,Brentford
43,Nathan Young-Coombes,England,15-01-03,,,Forward,,,,Brentford
1,Jack Butland,England,10-03-93,95kg,196cm,Goalkeeper,Crystal Palace,Stoke,Stoke,Crystal Palace
13,Vicente Guaita,Spain,10-01-87,81kg,190cm,Goalkeeper,Crystal Palace,Crystal Palace,Crystal Palace,Crystal Palace
19,Remi Matthews,England,10-02-94,78kg,184cm,Goalkeeper,Crystal Palace,,,Crystal Palace
5,James Tomkins,England,29-03-89,74kg,192cm,Defender,Crystal Palace,Crystal Palace,Crystal Palace,Crystal Palace
2,Joel Ward,England,29-10-89,83kg,188cm,Defender,Crystal Palace,Crystal Palace,Crystal Palace,Crystal Palace
36,Nathan Ferguson,England,06-10-00,74kg,178cm,Defender,Crystal Palace,West Brom,West Brom,Crystal Palace
2,Nathaniel Clyne,England,05-04-91,67kg,175cm,Defender,Crystal Palace,Bournemouth  (Loan) ,Liverpool,Crystal Palace
3,Tyrick Mitchell,England,01-09-99,,,Defender,Crystal Palace,Crystal Palace,Crystal Palace,Crystal Palace
34,Martin Kelly,England,27-04-90,77kg,191cm,Defender,Crystal Palace,Crystal Palace,Crystal Palace,Crystal Palace
6,Marc Guéhi,England,13-07-00,82kg,182cm,Defender,Chelsea,Chelsea,,Crystal Palace
16,Joachim Andersen,Denmark,31-05-96,90kg,192cm,Defender,Fulham  (Loan) ,,,Crystal Palace
43,Reece Hannam,England,11-09-00,,,Defender,Crystal Palace,Crystal Palace,,Crystal Palace
45,Omotayo Adaramola,Ireland,13-11-03,,,Defender,,,,Crystal Palace
4,Luka Milivojevic,Serbia,07-04-91,80kg,186cm,Midfielder,Crystal Palace,Crystal Palace,Crystal Palace,Crystal Palace
10,Eberechi Eze,England,29-06-98,,,Midfielder,Crystal Palace,,,Crystal Palace
23,Conor Gallagher,England,06-02-00,,182cm,Midfielder,Chelsea,West Brom  (Loan) ,Chelsea,Crystal Palace
44,Jairo Riedewald,Netherlands,09-09-96,79kg,182cm,Defender,Crystal Palace,Crystal Palace,Crystal Palace,Crystal Palace
49,Jesurun Rak-Sakyi,England,05-10-02,,,Midfielder,Crystal Palace,Crystal Palace,,Crystal Palace
15,Jeffrey Schlupp,Ghana,23-12-92,72kg,178cm,Midfielder,Crystal Palace,Crystal Palace,Crystal Palace,Crystal Palace
8,Cheikhou Kouyaté,Senegal,21-12-89,83kg,189cm,Midfielder,Crystal Palace,Crystal Palace,Crystal Palace,Crystal Palace
7,Michael Olise,France,12-12-01,,176cm,Midfielder,,,,Crystal Palace
18,James McArthur,Scotland,07-10-87,75kg,178cm,Midfielder,Crystal Palace,Crystal Palace,Crystal Palace,Crystal Palace
